@relation cloneEval

@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
0,false,false,1.0,40,331,false,0,0.7096774193548387,0.0,false,false,false,false,true,7,1.0,0.006190530780694715,0.013333333333333334,3.4391837670526195E-4,1.1463945890175398E-4,3.4391837670526195E-4,1.1463945890175398E-4,0.0,0.005846612403989453,3.4391837670526195E-4,0.0,0.0,refactored
5,true,false,1.0,20,88,true,5,0.0,0.0,false,true,true,false,false,3,1.0,0.0029806259314456036,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,2.2927891780350797E-4,1.1463945890175398E-4,2.2927891780350797E-4,0.0027513470136420956,0.0,2.2927891780350797E-4,0.0,refactored
0,true,true,0.25,40,182,true,13,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,0.013183537773701709,0.02666666666666667,0.0012610340479192938,3.4391837670526195E-4,0.0018342313424280637,5.731972945087699E-4,0.0012610340479192938,0.011922503725782414,0.0,0.0,0.0012610340479192938,refactored
0,true,true,0.1,16,98,true,5,0.16666666666666666,0.0,true,true,true,true,false,3,1.0,0.013183537773701709,0.02666666666666667,0.0012610340479192938,3.4391837670526195E-4,0.0018342313424280637,5.731972945087699E-4,0.0012610340479192938,0.011922503725782414,0.0,0.0,0.0012610340479192938,refactored
3,true,false,1.0,27,148,true,2,0.35714285714285715,0.0,false,true,true,false,false,4,1.0,0.017425197753066606,0.02666666666666667,3.4391837670526195E-4,0.0,0.0010317551301157859,4.5855783560701593E-4,3.4391837670526195E-4,0.017081279376361343,0.0,3.4391837670526195E-4,0.0,refactored
1,true,false,1.0,26,144,false,2,0.3888888888888889,0.0,false,true,true,false,true,3,1.0,0.012495701020291185,0.0,0.0,0.0,0.0011463945890175398,6.878367534105239E-4,0.0,0.012495701020291185,0.0,0.0,0.0,refactored
1,true,false,0.46153846153846156,12,85,false,0,0.375,0.0,false,true,true,false,true,2,1.0,0.012495701020291185,0.0,0.0,0.0,0.0011463945890175398,6.878367534105239E-4,0.0,0.012495701020291185,0.0,0.0,0.0,refactored
0,true,false,1.0,22,92,true,7,0.13333333333333333,0.0,false,true,true,true,false,8,1.0,0.03851885819098934,0.04,5.731972945087699E-4,1.1463945890175398E-4,0.0037831021437578815,5.731972945087699E-4,5.731972945087699E-4,0.03794566089648057,0.0,5.731972945087699E-4,0.0,refactored
24,true,false,1.0,13,54,true,5,0.1,0.0,false,true,true,false,false,5,1.0,0.051931674882494554,0.04,3.4391837670526195E-4,1.1463945890175398E-4,0.0029806259314456036,0.0011463945890175398,3.4391837670526195E-4,0.05158775650578929,0.0,0.0,3.4391837670526195E-4,refactored
0,true,false,0.175,21,150,true,2,0.6111111111111112,0.0,false,true,true,true,false,8,1.0,0.10008024762123123,0.13333333333333333,0.0037831021437578815,0.0013756735068210478,0.011807864266880661,0.0034391837670526195,0.0037831021437578815,0.09629714547747335,0.0,0.0037831021437578815,0.0,refactored
1,true,false,1.0,24,145,false,0,0.5,0.0,false,true,true,false,true,7,1.0,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0036684626848561275,0.0017195918835263098,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,refactored
1,true,false,1.0,24,145,false,0,0.5,0.0,false,true,true,false,true,7,1.0,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0036684626848561275,0.0017195918835263098,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,refactored
0,true,true,0.42592592592592593,23,131,true,5,0.13333333333333333,0.0,true,false,false,false,false,5,1.0,0.10008024762123123,0.06666666666666667,0.0016049524246245558,2.2927891780350797E-4,0.008024762123122779,0.0022927891780350797,4.5855783560701593E-4,0.09847529519660667,0.0011463945890175398,4.5855783560701593E-4,0.0,refactored
12,true,false,1.0,21,157,false,0,0.4375,0.0,false,true,true,false,true,5,1.0,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0037831021437578815,0.0018342313424280637,2.2927891780350797E-4,0.09985096870342772,0.0,2.2927891780350797E-4,0.0,refactored
0,true,true,0.2923076923076923,19,106,true,2,0.75,0.0,true,true,true,true,false,9,1.0,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,0.0,0.0011463945890175398,1.1463945890175398E-4,1.1463945890175398E-4,0.09996560816232948,0.0,1.1463945890175398E-4,0.0,refactored
10,true,false,1.0,32,208,false,0,0.6086956521739131,0.0,false,true,true,false,true,6,1.0,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0025220680958385876,6.878367534105239E-4,2.2927891780350797E-4,0.09985096870342772,0.0,0.0,2.2927891780350797E-4,refactored
45,true,false,1.0,43,304,false,0,0.5,0.0,false,true,true,false,true,8,1.0,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,0.0025220680958385876,6.878367534105239E-4,3.4391837670526195E-4,0.09973632924452597,0.0,0.0,0.0,refactored
26,true,false,1.0,60,422,false,0,0.4318181818181818,0.0,false,true,true,false,true,9,1.0,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,0.0025220680958385876,6.878367534105239E-4,3.4391837670526195E-4,0.09973632924452597,0.0,0.0,3.4391837670526195E-4,refactored
257,true,false,1.0,17,114,false,0,0.5,0.0,false,true,true,false,true,5,1.0,0.10008024762123123,0.013333333333333334,2.2927891780350797E-4,0.0,0.0025220680958385876,6.878367534105239E-4,2.2927891780350797E-4,0.09985096870342772,0.0,0.0,0.0,refactored
0,false,true,0.29357798165137616,32,180,true,11,0.0,0.0,true,false,false,false,false,9,1.0,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,2.2927891780350797E-4,0.09870457411441018,9.171156712140319E-4,2.2927891780350797E-4,2.2927891780350797E-4,refactored
0,false,false,0.9908256880733946,108,633,true,28,0.0625,0.025,false,false,false,false,false,7,1.0,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,3.4391837670526195E-4,0.09881921357331193,9.171156712140319E-4,3.4391837670526195E-4,0.0,refactored
0,false,false,0.7614678899082569,83,493,true,18,0.05263157894736842,0.0,false,false,false,false,false,5,1.0,0.10008024762123123,0.04,0.0012610340479192938,6.878367534105239E-4,0.0021781497191333257,0.0010317551301157859,3.4391837670526195E-4,0.09881921357331193,9.171156712140319E-4,3.4391837670526195E-4,0.0,refactored
0,true,true,0.05042016806722689,12,111,true,3,0.3333333333333333,0.0,true,true,true,true,false,8,1.0,0.10008024762123123,0.04,0.0010317551301157859,2.2927891780350797E-4,0.0022927891780350797,4.5855783560701593E-4,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0010317551301157859,refactored
0,true,true,0.21212121212121213,42,307,true,9,0.2857142857142857,0.0,true,false,false,false,false,6,1.0,0.017425197753066606,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,0.0035538232259543735,0.0014903129657228018,1.1463945890175398E-4,0.0373724636019718,8.024762123122779E-4,1.1463945890175398E-4,0.0,refactored
0,true,true,0.09195402298850575,16,112,false,0,0.375,0.0,true,true,true,true,false,7,1.0,0.10008024762123123,0.04,9.171156712140319E-4,2.2927891780350797E-4,0.010776109136764874,0.0024074286369368337,9.171156712140319E-4,0.09916313195001719,0.0,9.171156712140319E-4,0.0,refactored
44,true,true,0.12698412698412698,8,66,false,1,0.0,0.3333333333333333,false,true,true,false,false,6,1.0,0.10008024762123123,0.08,0.0010317551301157859,2.2927891780350797E-4,0.005044136191677175,0.0016049524246245558,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0,refactored
44,true,true,0.12698412698412698,8,66,false,1,0.0,0.3333333333333333,false,true,true,false,false,6,1.0,0.10008024762123123,0.08,0.0010317551301157859,2.2927891780350797E-4,0.005044136191677175,0.0016049524246245558,0.0010317551301157859,0.09904849249111544,0.0,0.0,0.0,refactored
4,true,false,1.0,31,231,false,0,0.5,0.09090909090909091,false,true,true,false,true,2,1.0,0.10008024762123123,0.02666666666666667,2.2927891780350797E-4,1.1463945890175398E-4,0.0011463945890175398,3.4391837670526195E-4,2.2927891780350797E-4,0.09985096870342772,0.0,2.2927891780350797E-4,0.0,refactored
1,true,false,1.0,18,123,false,1,0.4375,0.0,false,true,true,false,true,4,1.0,0.0010317551301157859,0.0,0.0,0.0,2.2927891780350797E-4,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,refactored
1,true,false,0.6111111111111112,11,83,false,0,0.3333333333333333,0.0,false,true,true,false,true,3,1.0,0.0010317551301157859,0.0,0.0,0.0,2.2927891780350797E-4,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,refactored
6,true,true,0.10569105691056911,13,82,true,4,0.08333333333333333,0.0,true,true,true,false,false,2,1.0,0.10008024762123123,0.08,0.0012610340479192938,4.5855783560701593E-4,0.006993006993006993,0.0019488708013298177,0.0012610340479192938,0.09881921357331193,0.0,0.0012610340479192938,0.0,refactored
6,true,true,0.10569105691056911,13,82,true,4,0.08333333333333333,0.0,true,true,true,false,false,2,1.0,0.10008024762123123,0.08,0.0012610340479192938,4.5855783560701593E-4,0.006993006993006993,0.0019488708013298177,0.0012610340479192938,0.09881921357331193,0.0,0.0012610340479192938,0.0,refactored
6,true,true,0.10569105691056911,13,82,true,4,0.08333333333333333,0.0,true,true,true,false,false,2,1.0,0.10008024762123123,0.08,0.0012610340479192938,4.5855783560701593E-4,0.006993006993006993,0.0019488708013298177,0.0012610340479192938,0.09881921357331193,0.0,0.0012610340479192938,0.0,refactored
0,true,true,0.19607843137254902,10,86,true,2,0.2222222222222222,0.0,true,true,true,true,false,2,1.0,0.10008024762123123,0.10666666666666667,0.0021781497191333257,6.878367534105239E-4,0.007680843746417517,0.0021781497191333257,0.0021781497191333257,0.0979020979020979,0.0,0.0021781497191333257,0.0,refactored
