@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
5,33,true,false,2,11,1.0,11,102,true,7,0.0,0.0,false,refactored
5,33,true,false,2,11,1.0,11,102,true,7,0.0,0.0,false,refactored
5,33,true,false,2,11,1.0,11,102,true,7,0.0,0.0,false,refactored
2,0,true,true,1,38,0.23684210526315788,9,111,true,1,0.0,0.0,true,refactored
2,5,true,false,10,31,1.0,31,234,true,9,0.2,0.0,false,refactored
2,2,true,true,16,354,0.02824858757062147,10,83,true,3,0.0,0.0,true,refactored
3,18,true,false,17,13,1.0,13,77,true,5,0.2,0.0,false,refactored
2,12,true,false,20,22,1.0,22,154,true,11,0.0,0.0,false,refactored
2,6,true,false,37,45,1.0,45,238,true,7,0.4117647058823529,0.0,false,refactored
2,9,true,false,0,18,1.0,18,128,false,11,0.11764705882352941,0.0,false,refactored
4,37,true,false,62,18,0.9444444444444444,17,126,true,4,0.2,0.0,false,refactored
4,36,true,false,14,20,1.0,20,134,true,6,0.05555555555555555,0.1111111111111111,false,refactored
2,0,true,false,2,20,1.0,20,172,true,5,0.07692307692307693,0.0,false,refactored
2,5,true,false,1,44,1.0,44,383,true,6,0.20689655172413793,0.06896551724137931,false,refactored
2,5,true,true,1,44,0.18181818181818182,8,117,true,2,0.0,0.3333333333333333,true,refactored
2,0,true,false,0,17,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,refactored
2,0,true,false,0,17,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,refactored
2,0,true,false,7,12,1.0,12,82,true,3,0.125,0.0,false,refactored
5,0,true,false,7,20,1.0,20,156,true,9,0.0625,0.0,false,refactored
2,2,true,false,24,35,0.9714285714285714,34,304,true,9,0.08,0.0,false,refactored
2,8,true,false,74,41,1.0,41,236,true,11,0.12903225806451613,0.0,false,refactored
4,41,false,false,75,14,1.0,14,137,true,5,0.07142857142857142,0.0,false,refactored
2,4,true,false,3,14,0.5714285714285714,8,81,true,3,0.0,0.0,false,refactored
2,4,true,false,3,14,0.5714285714285714,8,77,true,3,0.0,0.0,false,refactored
2,4,true,false,3,14,0.5714285714285714,8,73,true,3,0.0,0.0,false,refactored
2,4,true,false,3,14,1.0,14,132,true,7,0.0,0.0,false,refactored
2,4,true,false,3,14,1.0,14,125,true,7,0.0,0.0,false,refactored
2,4,true,false,3,14,1.0,14,120,true,7,0.0,0.0,false,refactored
2,4,true,false,3,14,1.0,14,111,true,7,0.0,0.0,false,refactored
2,4,true,false,3,14,1.0,14,118,true,7,0.0,0.0,false,refactored
2,2,true,false,7,12,0.9166666666666666,11,115,true,2,0.2,0.0,false,refactored
2,4,true,false,61,26,0.9615384615384616,25,241,true,10,0.0,0.0,false,refactored
4,63,false,false,5,16,1.0,16,129,true,5,0.14285714285714285,0.0,false,refactored
2,6,true,false,44,21,0.9523809523809523,20,180,true,6,0.0625,0.0,false,refactored
2,13,true,false,84,23,1.0,23,126,true,10,0.0,0.0,false,refactored
2,8,true,false,19,18,1.0,18,182,true,4,0.13333333333333333,0.0,false,refactored
2,8,true,true,19,18,0.5,9,98,true,3,0.2222222222222222,0.0,true,refactored
2,17,true,true,89,81,0.6296296296296297,51,304,true,14,0.12121212121212122,0.0,true,refactored
2,3,true,true,95,21,0.5714285714285714,12,99,true,4,0.0,0.0,true,refactored
2,2,true,false,35,33,1.0,33,262,true,4,0.47368421052631576,0.05263157894736842,false,refactored
2,0,true,true,99,68,0.27941176470588236,19,130,true,7,0.125,0.0,true,refactored
2,0,true,false,99,68,0.20588235294117646,14,97,true,4,0.18181818181818182,0.0,false,refactored
2,0,true,false,2,14,1.0,14,79,true,7,0.0,0.0,false,refactored
2,0,true,false,2,14,1.0,14,79,true,7,0.0,0.0,false,refactored
