@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,140,2,3,1,73,17,3,137,0,0,0,refactored
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,140,2,3,1,73,17,3,137,0,0,0,refactored
5,33,true,false,0,11,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,140,2,3,1,73,17,3,137,0,0,0,refactored
3,0,true,true,0,38,0.23684210526315788,9,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,86,1,1,0,45,15,1,85,0,0,1,refactored
2,5,true,false,0,31,1.0,31,234,true,9,0.2,0.0,false,true,true,false,false,4,1.0,472,5,73,16,272,66,73,399,0,73,0,refactored
2,2,true,true,0,354,0.02824858757062147,10,83,true,3,0.0,0.0,true,true,true,false,false,7,1.0,427,2,3,2,167,62,3,424,0,3,0,refactored
3,18,true,false,0,13,1.0,13,77,true,5,0.2,0.0,false,true,true,false,false,1,1.0,462,3,32,12,181,67,32,430,0,0,32,refactored
2,12,true,false,0,22,1.0,22,154,true,11,0.0,0.0,false,true,true,false,false,1,1.0,513,3,40,11,206,68,40,473,0,40,0,refactored
2,6,true,false,0,45,1.0,45,238,true,7,0.4117647058823529,0.0,false,true,true,false,false,6,1.0,1023,7,92,25,439,116,92,931,0,92,0,refactored
2,9,true,false,0,18,1.0,18,128,false,11,0.11764705882352941,0.0,false,false,false,false,false,-1,1.0,35,1,1,0,19,4,1,34,0,1,0,refactored
13,540,true,false,0,18,0.9444444444444444,17,126,true,4,0.2,0.0,false,true,true,false,false,3,1.0,2444,6,74,29,1050,275,74,2370,0,0,0,refactored
4,36,true,false,0,20,1.0,20,134,true,6,0.05555555555555555,0.1111111111111111,false,true,true,false,false,8,1.0,2309,1,5,1,1097,297,5,2304,0,0,0,refactored
2,0,true,false,0,20,1.0,20,172,true,5,0.07692307692307693,0.0,false,true,true,true,false,5,1.0,473,1,3,1,275,64,3,470,0,3,0,refactored
2,5,true,false,0,44,1.0,44,383,true,6,0.20689655172413793,0.06896551724137931,false,true,true,false,false,3,1.0,207,1,5,4,68,21,5,202,0,5,0,refactored
2,5,true,true,0,44,0.18181818181818182,8,117,true,2,0.0,0.3333333333333333,true,true,true,false,false,2,1.0,207,1,5,4,68,21,5,202,0,5,0,refactored
2,0,true,false,0,17,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,2,1,1,1,2,1,1,1,0,1,0,refactored
2,0,true,false,0,17,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,2,1,1,1,2,1,1,1,0,1,0,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,2,1,1,1,2,1,1,1,0,1,0,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,2,1,1,1,2,1,1,1,0,1,0,refactored
4,0,true,false,0,12,1.0,12,82,true,3,0.125,0.0,false,true,true,true,false,2,1.0,1678,2,18,5,745,176,18,1660,0,0,0,refactored
5,0,true,false,0,20,1.0,20,156,true,9,0.0625,0.0,false,true,true,true,false,3,1.0,1678,2,18,5,745,176,18,1660,0,0,0,refactored
2,2,true,false,0,35,0.9714285714285714,34,304,true,9,0.08,0.0,false,true,true,false,false,4,1.0,2444,4,20,5,913,154,20,2424,0,20,0,refactored
