@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,false,false,0,40,1.0,40,331,false,0,0.7096774193548387,0.0,false,false,false,false,true,7,1.0,57,1,4,2,4,2,1,53,3,1,0,refactored
3,0,true,true,0,52,0.19230769230769232,10,76,true,2,0.3,0.0,false,true,true,true,false,3,1.0,5,1,2,2,3,2,2,3,0,0,2,refactored
2,0,true,false,0,18,0.9444444444444444,17,115,true,6,0.0,0.0,false,false,false,false,false,6,1.0,143,4,12,2,39,9,8,127,8,8,0,refactored
2,0,true,true,0,52,0.23076923076923078,12,95,true,3,0.09090909090909091,0.0,true,true,true,true,false,6,1.0,154,6,19,5,58,13,19,135,0,19,0,refactored
2,0,false,false,0,17,1.0,17,108,false,0,0.5,0.0,false,false,false,false,true,9,1.0,218,5,18,3,57,11,15,199,4,15,0,refactored
2,5,true,false,0,20,1.0,20,88,true,5,0.0,0.0,false,true,true,false,false,3,1.0,28,2,3,2,3,2,3,25,0,3,0,refactored
2,3,true,false,0,11,1.0,11,66,true,6,0.0,0.0,false,true,true,false,false,3,1.0,11,1,2,2,4,2,2,9,0,2,0,refactored
3,0,true,true,0,160,0.25,40,182,true,13,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,116,2,12,4,17,6,12,104,0,0,12,refactored
3,0,true,true,0,160,0.1,16,98,true,5,0.16666666666666666,0.0,true,true,true,true,false,3,1.0,116,2,12,4,17,6,12,104,0,0,12,refactored
2,0,true,true,0,93,0.3870967741935484,36,183,true,14,0.03225806451612903,0.0,true,true,true,true,false,9,1.0,191,3,22,8,29,10,22,169,0,22,0,refactored
4,0,true,true,0,79,0.12658227848101267,10,93,true,2,0.2222222222222222,0.0,true,true,true,true,false,3,1.0,191,4,17,5,29,10,17,174,0,0,0,refactored
2,3,true,false,0,16,1.0,16,135,false,1,0.4166666666666667,0.0,false,true,true,false,false,0,1.0,61,4,7,4,11,4,7,54,0,7,0,refactored
2,3,true,true,0,30,0.36666666666666664,11,94,true,2,0.36363636363636365,0.0,true,true,true,false,false,3,1.0,284,3,32,8,43,12,32,252,0,32,0,refactored
3,16,false,false,0,39,1.0,39,213,true,5,0.32142857142857145,0.0,false,false,false,false,true,10,1.0,602,6,38,6,94,19,1,557,37,7,1,refactored
2,0,false,false,0,39,1.0,39,213,true,5,0.32142857142857145,0.0,false,false,false,false,true,10,1.0,602,6,38,6,94,19,1,564,37,1,0,refactored
2,0,true,true,0,96,0.13541666666666666,13,111,false,0,0.2222222222222222,0.0,true,true,true,true,false,8,1.0,90,2,3,1,19,5,3,87,0,3,0,refactored
2,10,false,false,0,65,1.0,65,348,true,6,0.2972972972972973,0.0,false,false,false,false,false,9,0.25925925925925924,152,2,3,1,9,5,3,147,2,3,0,refactored
2,10,false,false,0,65,1.0,65,348,true,6,0.2972972972972973,0.0,false,false,false,false,false,9,0.25925925925925924,152,2,3,1,9,5,3,147,2,3,0,refactored
2,10,false,false,0,65,1.0,65,348,true,6,0.2972972972972973,0.0,false,false,false,false,false,9,0.25925925925925924,152,2,3,1,9,5,3,147,2,3,0,refactored
2,3,true,false,0,27,1.0,27,148,true,2,0.35714285714285715,0.0,false,true,true,false,false,4,1.0,154,2,4,1,10,5,4,150,0,4,0,refactored
2,3,true,false,0,27,1.0,27,148,true,2,0.35714285714285715,0.0,false,true,true,false,false,4,1.0,154,2,4,1,10,5,4,150,0,4,0,refactored
2,0,true,false,0,22,0.9090909090909091,20,117,false,1,0.3,0.0,false,true,true,true,true,4,1.0,383,4,15,9,54,17,15,368,0,15,0,refactored
2,0,true,true,0,40,0.275,11,129,true,2,0.2,0.0,true,true,true,true,false,4,1.0,633,5,12,3,25,7,12,621,0,12,0,refactored
2,0,true,true,0,87,0.21839080459770116,19,107,true,2,0.4,0.0,false,true,true,true,false,4,1.0,46,1,1,1,3,3,1,45,0,1,0,refactored
2,1,true,false,0,26,1.0,26,144,false,2,0.3888888888888889,0.0,false,true,true,false,true,3,1.0,120,1,1,1,11,6,1,119,0,1,0,refactored
2,1,true,false,0,26,0.46153846153846156,12,85,false,0,0.375,0.0,false,true,true,false,true,2,1.0,120,1,1,1,11,6,1,119,0,1,0,refactored
2,0,true,false,0,23,1.0,23,91,true,7,0.125,0.0,false,true,true,true,false,7,1.0,159,1,3,2,24,8,3,156,0,3,0,refactored
2,0,true,false,0,23,1.0,23,91,true,7,0.125,0.0,false,true,true,true,false,7,1.0,159,1,3,2,24,8,3,156,0,3,0,refactored
2,0,true,true,0,152,0.09868421052631579,15,84,true,4,0.3076923076923077,0.0,true,true,true,true,false,4,1.0,305,3,7,1,28,7,7,298,0,7,0,refactored
2,6,true,false,0,113,0.5398230088495575,61,248,true,5,0.32142857142857145,0.0,false,true,true,false,false,7,1.0,36,1,1,1,9,2,1,35,0,1,0,refactored
2,0,true,false,0,22,1.0,22,92,true,7,0.13333333333333333,0.0,false,true,true,true,false,8,1.0,338,3,7,3,35,7,7,331,0,7,0,refactored
2,0,true,true,0,236,0.059322033898305086,14,78,true,2,0.4,0.0,true,true,true,true,false,6,1.0,394,3,5,1,48,11,5,389,0,5,0,refactored
2,0,true,true,0,236,0.08050847457627118,19,141,true,3,0.26666666666666666,0.0,true,true,true,true,false,7,1.0,394,3,5,1,48,11,5,389,0,5,0,refactored
3,24,true,false,0,13,1.0,13,54,true,5,0.1,0.0,false,true,true,false,false,5,1.0,470,3,4,2,27,10,4,466,0,0,4,refactored
2,0,true,true,0,158,0.13291139240506328,21,128,true,5,0.2631578947368421,0.0,true,true,true,true,false,5,1.0,510,4,8,1,45,12,8,502,0,8,0,refactored
2,0,true,true,0,158,0.13291139240506328,21,128,true,5,0.2631578947368421,0.0,true,true,true,true,false,5,1.0,510,4,8,1,45,12,8,502,0,8,0,refactored
