@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numParaMultiset real
@attribute numGappedMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,false,false,0,40,1.0,40,331,false,0,0.7096774193548387,0.0,false,false,false,false,true,7,1.0,0.006534449157399977,0.013333333333333334,4.5855783560701593E-4,2.2927891780350797E-4,4.5855783560701593E-4,2.2927891780350797E-4,1.1463945890175398E-4,0.006075891321792961,3.4391837670526195E-4,1.1463945890175398E-4,0.0,42,0,42,0,2,14,1,refactored
3,0,true,true,0,52,0.19230769230769232,10,76,true,2,0.3,0.0,false,true,true,true,false,3,1.0,5.731972945087699E-4,0.013333333333333334,2.2927891780350797E-4,2.2927891780350797E-4,3.4391837670526195E-4,2.2927891780350797E-4,2.2927891780350797E-4,3.4391837670526195E-4,0.0,0.0,2.2927891780350797E-4,5,5,0,0,1,2,0,refactored
2,0,true,false,0,18,0.9444444444444444,17,115,true,6,0.0,0.0,false,false,false,false,false,6,1.0,0.01639344262295082,0.05333333333333334,0.0013756735068210478,2.2927891780350797E-4,0.004470938897168405,0.0010317551301157859,9.171156712140319E-4,0.014559211280522757,9.171156712140319E-4,9.171156712140319E-4,0.0,0,0,0,0,0,0,0,refactored
2,0,true,true,0,52,0.23076923076923078,12,95,true,3,0.09090909090909091,0.0,true,true,true,true,false,6,1.0,0.017654476670870115,0.08,0.0021781497191333257,5.731972945087699E-4,0.006649088616301731,0.0014903129657228018,0.0021781497191333257,0.015476326951736789,0.0,0.0021781497191333257,0.0,12,4,8,0,1,2,0,refactored
2,0,false,false,0,17,1.0,17,108,false,0,0.5,0.0,false,false,false,false,true,9,1.0,0.02499140204058237,0.06666666666666667,0.0020635102602315717,3.4391837670526195E-4,0.006534449157399977,0.0012610340479192938,0.0017195918835263098,0.022813252321449044,4.5855783560701593E-4,0.0017195918835263098,0.0,4,0,4,0,0,1,0,refactored
2,5,true,false,0,20,1.0,20,88,true,5,0.0,0.0,false,true,true,false,false,3,1.0,0.0032099048492491115,0.02666666666666667,3.4391837670526195E-4,2.2927891780350797E-4,3.4391837670526195E-4,2.2927891780350797E-4,3.4391837670526195E-4,0.0028659864725438496,0.0,3.4391837670526195E-4,0.0,4,4,0,0,0,4,0,refactored
2,3,true,false,0,11,1.0,11,66,true,6,0.0,0.0,false,true,true,false,false,3,1.0,0.0012610340479192938,0.013333333333333334,2.2927891780350797E-4,2.2927891780350797E-4,4.5855783560701593E-4,2.2927891780350797E-4,2.2927891780350797E-4,0.0010317551301157859,0.0,2.2927891780350797E-4,0.0,10,10,0,0,0,7,0,refactored
3,0,true,true,0,160,0.25,40,182,true,13,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,0.013298177232603462,0.02666666666666667,0.0013756735068210478,4.5855783560701593E-4,0.0019488708013298177,6.878367534105239E-4,0.0013756735068210478,0.011922503725782414,0.0,0.0,0.0013756735068210478,32,3,30,26,3,7,1,refactored
3,0,true,true,0,160,0.1,16,98,true,5,0.16666666666666666,0.0,true,true,true,true,false,3,1.0,0.013298177232603462,0.02666666666666667,0.0013756735068210478,4.5855783560701593E-4,0.0019488708013298177,6.878367534105239E-4,0.0013756735068210478,0.011922503725782414,0.0,0.0,0.0013756735068210478,1,1,0,1,0,0,0,refactored
2,0,true,true,0,93,0.3870967741935484,36,183,true,14,0.03225806451612903,0.0,true,true,true,true,false,9,1.0,0.021896136650235012,0.04,0.0025220680958385876,9.171156712140319E-4,0.0033245443081508655,0.0011463945890175398,0.0025220680958385876,0.019374068554396422,0.0,0.0025220680958385876,0.0,37,11,26,0,4,16,0,refactored
