@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute cloneEval {refactored, unrefactored}

@data
2,12,true,true,0,23,0.6521739130434783,15,100,true,6,0.0,0.0,true,true,true,false,false,2,1.0,refactored
3,28,true,false,0,19,1.0,19,168,true,3,0.25,0.0,false,false,false,false,false,10,1.0,refactored
2,0,true,false,0,19,1.0,19,166,true,3,0.25,0.0,false,false,false,false,false,10,1.0,refactored
3,28,true,false,0,19,1.0,19,162,true,3,0.3125,0.0,false,false,false,false,false,12,1.0,refactored
2,0,true,false,0,19,1.0,19,162,true,3,0.3125,0.0,false,false,false,false,false,12,1.0,refactored
3,22,true,false,0,15,1.0,15,112,true,5,0.0,0.0,false,true,true,false,false,5,1.0,refactored
2,0,true,false,0,39,1.0,39,528,true,12,0.32432432432432434,0.0,false,true,true,true,false,3,1.0,refactored
3,14,true,false,0,20,1.0,20,154,true,2,0.17647058823529413,0.0,false,false,false,false,false,13,1.0,refactored
2,0,false,false,0,33,1.0,33,199,true,9,0.42857142857142855,0.0,false,false,false,false,false,10,1.0,refactored
2,0,false,false,0,21,1.0,21,113,true,4,0.5,0.0,false,false,false,false,false,7,0.5,refactored
2,0,false,false,0,24,0.3333333333333333,8,76,false,0,0.42857142857142855,0.0,false,false,false,false,false,5,0.6,refactored
4,40,true,false,0,17,1.0,17,154,true,4,0.0,0.0,false,false,false,false,false,12,1.0,refactored
5,55,true,false,0,11,1.0,11,99,true,2,0.0,0.0,false,false,false,false,false,12,1.0,refactored
2,0,false,true,0,90,0.15555555555555556,14,136,true,3,0.07142857142857142,0.0,true,false,false,false,false,5,1.0,refactored
2,0,false,true,0,90,0.12222222222222222,11,113,true,6,0.0,0.0,true,false,false,false,false,6,1.0,refactored
2,0,false,true,0,90,0.2111111111111111,19,195,true,9,0.047619047619047616,0.0,true,false,false,false,false,7,1.0,refactored
2,0,false,false,0,54,1.0,54,378,true,22,0.1,0.0,false,false,false,false,false,5,1.0,refactored
2,0,true,true,0,50,0.14,7,83,true,1,0.5,0.0,true,true,true,true,false,7,1.0,refactored
2,0,true,true,0,50,0.14,7,83,true,1,0.5,0.0,true,true,true,true,false,7,1.0,refactored
2,6,true,false,0,8,1.0,8,71,true,3,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,0,false,false,0,27,1.0,27,164,true,6,0.30434782608695654,0.0,false,false,false,false,false,6,0.6,refactored
3,10,false,false,0,46,1.0,46,248,true,13,0.275,0.0,false,false,false,false,false,7,0.5555555555555556,refactored
2,0,false,false,0,57,1.0,57,322,true,17,0.1875,0.0,false,false,false,false,false,6,0.5263157894736842,refactored
2,0,true,false,0,211,0.12322274881516587,26,262,false,0,0.0,0.0,false,true,true,true,false,2,1.0,refactored
2,5,false,false,0,15,0.9333333333333333,14,104,true,2,0.15384615384615385,0.0,false,false,false,false,false,7,0.6538461538461539,refactored
2,5,false,true,0,15,0.6666666666666666,10,72,true,2,0.2,0.0,true,false,false,false,false,6,0.6538461538461539,refactored
2,0,false,false,0,16,0.625,10,104,true,2,0.375,0.0,false,false,false,false,false,6,0.3333333333333333,refactored
2,0,false,false,0,27,1.0,27,176,true,9,0.08333333333333333,0.0,false,false,false,false,false,1,0.5,refactored
2,0,false,false,0,15,1.0,15,104,true,3,0.07692307692307693,0.0,false,false,false,false,false,7,0.5,refactored
2,0,false,true,0,27,0.48148148148148145,13,98,true,5,0.15384615384615385,0.0,true,false,false,false,false,2,0.5,refactored
2,0,true,true,0,298,0.03355704697986577,10,91,true,2,0.14285714285714285,0.0,true,true,true,true,false,5,1.0,refactored
5,0,true,true,0,298,0.040268456375838924,12,101,true,3,0.2222222222222222,0.0,true,true,true,true,false,4,1.0,refactored
4,40,true,false,0,12,1.0,12,120,true,2,0.0,0.0,false,false,false,false,false,13,1.0,refactored
2,3,false,false,0,20,1.0,20,155,true,5,0.4,0.05,false,false,false,false,false,8,1.0,refactored
2,3,false,false,0,20,1.0,20,155,true,5,0.4,0.05,false,false,false,false,false,8,1.0,refactored
2,3,false,false,0,20,1.0,20,155,true,5,0.4,0.05,false,false,false,false,false,8,1.0,refactored
2,3,false,false,0,20,0.55,11,93,true,3,0.45454545454545453,0.09090909090909091,false,false,false,false,false,8,1.0,refactored
2,3,false,false,0,20,0.55,11,93,true,3,0.45454545454545453,0.09090909090909091,false,false,false,false,false,8,1.0,refactored
2,3,false,false,0,20,0.55,11,93,true,3,0.45454545454545453,0.09090909090909091,false,false,false,false,false,8,1.0,refactored
2,0,true,false,0,19,1.0,19,131,true,6,0.16666666666666666,0.0,false,true,true,true,false,5,1.0,refactored
2,0,true,false,0,19,1.0,19,131,true,6,0.16666666666666666,0.0,false,true,true,true,false,5,1.0,refactored
2,0,true,true,0,64,0.265625,17,135,true,8,0.17647058823529413,0.0,true,true,true,true,false,3,1.0,refactored
3,0,true,false,0,64,0.171875,11,79,true,4,0.3,0.0,false,true,true,true,false,4,1.0,refactored
6,67,false,false,0,48,0.9791666666666666,47,358,true,14,0.05128205128205128,0.0,false,false,false,false,false,17,0.375,refactored
7,99,false,false,0,43,0.9767441860465116,42,286,true,11,0.06060606060606061,0.0,false,false,false,false,false,10,0.4107142857142857,refactored
15,836,false,false,0,43,0.3023255813953488,13,99,true,3,0.1111111111111111,0.0,false,false,false,false,false,4,0.43333333333333335,refactored
2,0,true,false,0,84,0.19047619047619047,16,152,false,0,0.0,0.0,false,true,true,true,false,5,1.0,refactored
2,0,true,false,0,29,0.9655172413793104,28,169,true,7,0.037037037037037035,0.0,false,true,true,true,false,9,1.0,refactored
2,0,true,false,0,23,0.9565217391304348,22,135,true,4,0.6666666666666666,0.0,false,true,true,true,false,12,1.0,refactored
2,0,false,false,0,27,0.9629629629629629,26,154,true,7,0.48,0.0,false,false,false,false,false,7,1.0,refactored
3,0,true,false,0,120,0.06666666666666667,8,101,false,0,0.0,0.0,false,true,true,true,false,4,1.0,refactored
2,0,false,false,0,65,0.9846153846153847,64,533,true,30,0.047619047619047616,0.0,false,false,false,false,false,8,1.0,refactored
2,0,false,false,0,64,1.0,64,553,true,28,0.125,0.0,false,false,false,false,false,6,1.0,refactored
3,0,false,true,0,64,0.484375,31,297,true,11,0.16666666666666666,0.0,true,false,false,false,false,9,1.0,refactored
3,0,false,true,0,60,0.16666666666666666,10,97,true,1,0.2222222222222222,0.0,true,false,false,false,false,5,1.0,refactored
2,0,true,false,0,15,0.9333333333333333,14,113,true,3,0.08333333333333333,0.0,false,true,true,true,false,2,1.0,refactored
2,0,false,false,0,10,1.0,10,89,true,4,0.0,0.0,false,false,false,false,false,4,0.5625,refactored
6,95,false,false,0,11,1.0,11,67,false,3,0.0,0.0,false,false,false,false,false,1,0.6656855404522426,refactored
2,0,true,false,0,246,0.044715447154471545,11,130,false,0,0.0,0.0,false,true,true,true,false,3,1.0,refactored
2,0,false,false,0,27,0.9629629629629629,26,193,true,6,0.08,0.0,false,false,false,false,false,7,1.0,refactored
2,0,true,true,0,128,0.34375,44,308,true,11,0.1891891891891892,0.0,true,true,true,true,false,6,1.0,refactored
2,0,true,false,0,128,0.1953125,25,183,true,6,0.15,0.0,false,true,true,true,false,8,1.0,refactored
2,0,false,false,0,18,0.9444444444444444,17,142,true,7,0.0,0.0,false,false,false,false,false,12,1.0,refactored
6,0,true,true,0,131,0.05343511450381679,7,84,true,4,0.0,0.0,true,true,true,true,false,12,1.0,refactored
6,0,true,true,0,131,0.05343511450381679,7,84,true,4,0.0,0.0,true,true,true,true,false,12,1.0,refactored
6,0,true,true,0,131,0.05343511450381679,7,84,true,4,0.0,0.0,true,true,true,true,false,12,1.0,refactored
6,0,true,true,0,131,0.05343511450381679,7,84,true,4,0.0,0.0,true,true,true,true,false,12,1.0,refactored
2,0,false,true,0,124,0.1532258064516129,19,191,true,9,0.047619047619047616,0.0,true,false,false,false,false,7,1.0,refactored
2,0,false,true,0,124,0.08870967741935484,11,113,true,6,0.0,0.0,true,false,false,false,false,6,1.0,refactored
2,0,false,true,0,89,0.3146067415730337,28,245,true,13,0.0,0.0,true,false,false,false,false,15,0.5714285714285714,refactored
6,0,false,false,0,89,0.16853932584269662,15,105,true,2,0.0,0.0,false,false,false,false,false,7,0.9344824228259813,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.9868421052631579,75,576,true,21,0.07936507936507936,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,true,0,76,0.2631578947368421,20,160,true,7,0.05263157894736842,0.0,true,false,false,false,false,3,1.0,refactored
4,0,true,true,0,76,0.2631578947368421,20,160,true,7,0.05263157894736842,0.0,true,false,false,false,false,3,1.0,refactored
6,0,true,true,0,76,0.2631578947368421,20,160,true,7,0.05263157894736842,0.0,true,false,false,false,false,3,1.0,refactored
2,0,true,true,0,76,0.2631578947368421,20,160,true,7,0.05263157894736842,0.0,true,false,false,false,false,3,1.0,refactored
7,0,false,false,0,81,0.2345679012345679,19,165,true,4,0.1111111111111111,0.0,false,false,false,false,false,8,1.0,refactored
4,0,true,false,0,76,0.25,19,167,true,4,0.1111111111111111,0.0,false,false,false,false,false,8,1.0,refactored
6,0,true,false,0,76,0.25,19,167,true,4,0.1111111111111111,0.0,false,false,false,false,false,8,1.0,refactored
2,0,true,false,0,76,0.25,19,167,true,4,0.1111111111111111,0.0,false,false,false,false,false,8,1.0,refactored
8,0,false,false,0,81,0.12345679012345678,10,90,true,2,0.0,0.0,false,false,false,false,false,5,1.0,refactored
7,0,false,false,0,81,0.12345679012345678,10,90,true,2,0.0,0.0,false,false,false,false,false,5,1.0,refactored
4,0,true,false,0,76,0.14473684210526316,11,98,true,2,0.0,0.0,false,false,false,false,false,6,1.0,refactored
6,0,true,false,0,76,0.14473684210526316,11,98,true,2,0.0,0.0,false,false,false,false,false,6,1.0,refactored
2,0,true,false,0,76,0.14473684210526316,11,98,true,2,0.0,0.0,false,false,false,false,false,6,1.0,refactored
2,4,true,false,0,45,0.9777777777777777,44,722,false,0,0.95,0.0,false,true,true,false,true,5,1.0,refactored
2,0,false,false,0,14,0.9285714285714286,13,94,true,2,0.08333333333333333,0.0,false,false,false,false,false,6,1.0,refactored
2,0,false,false,0,15,0.9333333333333333,14,82,true,3,0.5384615384615384,0.0,false,false,false,false,false,6,1.0,refactored
3,0,false,true,0,73,0.1780821917808219,13,112,true,2,0.2222222222222222,0.0,true,false,false,false,false,7,1.0,refactored
3,0,false,true,0,73,0.1780821917808219,13,112,true,2,0.2222222222222222,0.0,true,false,false,false,false,7,1.0,refactored
3,0,false,false,0,73,0.2465753424657534,18,135,true,4,0.21428571428571427,0.0,false,false,false,false,false,7,1.0,refactored
3,0,false,false,0,73,0.2465753424657534,18,135,true,4,0.21428571428571427,0.0,false,false,false,false,false,7,1.0,refactored
2,5,true,false,0,19,1.0,19,140,true,5,0.11764705882352941,0.0,false,true,true,false,false,3,1.0,refactored
2,5,true,false,0,19,1.0,19,140,true,5,0.11764705882352941,0.0,false,true,true,false,false,3,1.0,refactored
2,8,true,false,0,126,0.9920634920634921,125,855,true,56,0.09523809523809523,0.0,false,true,true,false,false,8,1.0,refactored
2,8,true,false,0,126,0.9920634920634921,125,855,true,56,0.09523809523809523,0.0,false,true,true,false,false,8,1.0,refactored
2,8,true,true,0,126,0.30952380952380953,39,258,true,16,0.05,0.0,true,true,true,false,false,12,1.0,refactored
2,8,true,false,0,11,0.9090909090909091,10,134,false,0,0.5,0.0,false,true,true,false,true,5,1.0,refactored
2,8,true,false,0,11,0.9090909090909091,10,134,false,0,0.5,0.0,false,true,true,false,true,5,1.0,refactored
4,56,true,false,0,11,0.9090909090909091,10,134,false,0,0.5,0.0,false,true,true,false,true,5,1.0,refactored
2,0,true,true,0,187,0.12299465240641712,23,158,true,5,0.11764705882352941,0.0,true,true,true,true,false,8,1.0,refactored
2,0,false,false,0,12,0.9166666666666666,11,82,true,3,0.2,0.0,false,false,false,false,false,4,1.0,refactored
2,0,false,false,0,12,0.9166666666666666,11,89,true,4,0.1,0.0,false,false,false,false,false,5,1.0,refactored
2,6,true,false,0,116,0.9913793103448276,115,1197,false,0,0.7439024390243902,0.0,false,true,true,false,true,1,1.0,refactored
3,0,true,false,0,21,1.0,21,172,true,8,0.0,0.0,false,false,false,false,false,0,1.0,refactored
2,0,true,false,0,34,0.5588235294117647,19,132,true,4,0.08333333333333333,0.0,false,false,false,false,false,8,1.0,refactored
2,0,true,false,0,34,0.9705882352941176,33,219,true,7,0.125,0.0,false,false,false,false,false,7,1.0,refactored
2,0,false,false,0,78,0.9871794871794872,77,526,true,31,0.05714285714285714,0.0,false,false,false,false,false,7,1.0,refactored
2,17,true,false,0,88,0.9886363636363636,87,804,true,9,0.582089552238806,0.0,false,true,true,false,true,8,1.0,refactored
3,67,true,true,0,88,0.29545454545454547,26,217,true,5,0.36363636363636365,0.0,true,true,true,false,true,10,1.0,refactored
