@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
2,5,true,true,0,33,0.5757575757575758,19,153,true,8,0.17647058823529413,0.0,true,true,true,false,false,5,1.0,15,2,8,1,11,3,8,7,0,8,0,refactored
2,5,true,true,0,33,0.5757575757575758,19,153,true,8,0.17647058823529413,0.0,true,true,true,false,false,5,1.0,15,2,8,1,11,3,8,7,0,8,0,refactored
6,96,true,false,0,32,1.0,32,171,true,7,0.05,0.05,false,true,true,false,false,7,1.0,69,3,6,2,28,7,6,63,0,0,0,refactored
8,184,true,false,0,32,0.21875,7,63,true,2,0.0,0.0,false,true,true,false,false,2,1.0,69,3,6,2,28,7,6,63,0,0,0,refactored
2,0,true,true,0,150,0.06666666666666667,10,130,false,0,0.625,0.0,true,true,true,true,false,3,1.0,245,5,60,8,121,22,60,185,0,60,0,refactored
2,0,true,true,0,115,0.0782608695652174,9,94,false,1,0.375,0.0,true,true,true,true,false,5,1.0,245,5,46,6,69,15,46,199,0,46,0,refactored
2,0,true,true,0,115,0.0782608695652174,9,94,false,1,0.375,0.0,true,true,true,true,false,5,1.0,245,5,46,6,69,15,46,199,0,46,0,refactored
2,10,true,false,0,16,1.0,16,122,true,3,0.0,0.0,false,true,true,false,false,1,1.0,302,4,38,7,161,47,38,264,0,38,0,refactored
2,10,true,true,0,17,0.5294117647058824,9,122,true,2,0.0,0.0,true,true,true,false,false,7,1.0,428,4,50,10,228,55,50,378,0,50,0,refactored
2,0,true,false,0,186,0.03763440860215054,7,68,true,2,0.0,0.0,false,true,true,true,false,4,1.0,465,5,21,6,245,57,21,444,0,21,0,refactored
2,0,true,false,0,232,0.07327586206896551,17,120,true,8,0.3333333333333333,0.0,false,true,true,true,false,7,1.0,490,7,110,18,260,66,110,380,0,110,0,refactored
2,0,true,false,0,232,0.07327586206896551,17,120,true,8,0.3333333333333333,0.0,false,true,true,true,false,7,1.0,490,7,110,18,260,66,110,380,0,110,0,refactored
2,0,true,false,0,232,0.07327586206896551,17,120,true,8,0.3333333333333333,0.0,false,true,true,true,false,7,1.0,490,7,110,18,260,66,110,380,0,110,0,refactored
2,0,true,false,0,232,0.07327586206896551,17,120,true,8,0.3333333333333333,0.0,false,true,true,true,false,7,1.0,490,7,110,18,260,66,110,380,0,110,0,refactored
