@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
4,0,false,false,0,20,0.9,18,189,false,0,0.5454545454545454,0.0,false,false,false,false,unrefactored
6,88,true,false,0,17,1.0,17,172,true,4,0.0625,0.0,false,true,true,false,unrefactored
2,13,false,false,0,17,0.8823529411764706,15,153,true,1,0.0,0.0,false,false,false,false,unrefactored
2,0,true,false,0,42,0.9761904761904762,41,318,true,20,0.023809523809523808,0.0,false,false,false,false,unrefactored
3,45,true,false,0,10,0.9,9,89,false,0,0.75,0.0,false,false,false,false,unrefactored
3,44,true,false,0,61,0.9836065573770492,60,670,true,10,0.5405405405405406,0.0,false,true,true,false,unrefactored
3,21,true,false,0,16,1.0,16,203,false,0,0.5833333333333334,0.0,false,true,true,false,unrefactored
2,9,true,false,0,18,0.9444444444444444,17,187,false,0,0.14285714285714285,0.0,false,true,true,false,unrefactored
5,0,false,false,0,10,0.9,9,58,false,2,0.0,0.0,false,false,false,false,unrefactored
3,0,false,false,0,28,1.0,28,190,true,11,0.041666666666666664,0.0,false,false,false,false,unrefactored
2,0,false,true,0,183,0.11475409836065574,21,204,true,4,0.25,0.0,true,false,false,false,unrefactored
2,5,true,false,0,35,1.0,35,148,true,7,0.42857142857142855,0.0,false,true,true,false,unrefactored
2,3,true,false,0,15,0.9333333333333333,14,152,false,0,0.16666666666666666,0.0,false,true,true,false,unrefactored
2,0,true,false,0,67,1.0,67,274,true,44,0.030303030303030304,0.0,false,true,true,true,unrefactored
2,1,true,false,0,11,1.0,11,95,true,1,0.2,0.0,false,true,true,false,unrefactored
2,0,false,false,0,35,0.2857142857142857,10,100,true,3,0.2222222222222222,0.0,false,false,false,false,unrefactored
2,0,true,false,0,61,0.9836065573770492,60,332,true,24,0.18518518518518517,0.0,false,true,true,true,unrefactored
2,0,true,true,0,214,0.06542056074766354,14,133,true,4,0.09090909090909091,0.0,true,true,true,true,unrefactored
3,23,true,false,0,16,1.0,16,116,false,0,0.9,0.0,false,true,true,false,unrefactored
2,10,true,true,0,33,0.21212121212121213,7,84,true,2,0.2857142857142857,0.0,true,true,true,false,unrefactored
2,0,false,false,0,28,0.9642857142857143,27,288,true,14,0.03225806451612903,0.0,false,false,false,false,unrefactored
2,5,true,false,0,9,1.0,9,92,false,0,0.25,0.0,false,true,true,false,unrefactored
2,0,false,false,0,48,0.3541666666666667,17,169,false,0,0.0,0.0,false,false,false,false,unrefactored
2,10,true,false,0,62,0.9838709677419355,61,851,false,1,0.625,0.0,false,true,true,false,unrefactored
2,0,true,true,0,36,0.2222222222222222,8,94,true,1,0.14285714285714285,0.0,true,true,true,true,unrefactored
3,0,false,false,0,20,0.95,19,153,true,5,0.29411764705882354,0.0,false,false,false,false,unrefactored
2,0,false,false,0,16,0.9375,15,78,true,9,0.0,0.0,false,false,false,false,unrefactored
4,0,false,false,0,9,0.8888888888888888,8,68,true,9,0.0,0.0,false,false,false,false,unrefactored
2,6,true,false,0,13,1.0,13,102,false,0,0.5,0.0,false,true,true,false,unrefactored
2,8,true,false,0,10,1.0,10,81,false,0,0.5,0.0,false,true,true,false,unrefactored
2,0,false,false,0,22,0.9545454545454546,21,148,true,3,0.1111111111111111,0.05555555555555555,false,false,false,false,unrefactored
2,6,true,false,0,9,1.0,9,89,false,0,0.75,0.0,false,false,false,false,unrefactored
2,11,false,false,0,9,1.0,9,138,false,0,0.75,0.0,false,false,false,false,unrefactored
4,67,true,true,0,61,0.4098360655737705,25,256,true,4,0.22727272727272727,0.0,true,true,true,false,unrefactored
2,0,false,false,0,22,1.0,22,229,true,4,0.15,0.1,false,false,false,false,unrefactored
2,0,false,false,0,13,0.9230769230769231,12,81,false,0,0.9090909090909091,0.0,false,false,false,false,unrefactored
2,6,true,false,0,13,1.0,13,102,false,0,0.5,0.0,false,true,true,false,unrefactored
4,40,true,false,0,51,0.9803921568627451,50,874,false,0,0.8181818181818182,0.0,false,true,true,false,unrefactored
4,46,true,false,0,81,1.0,81,380,true,12,0.1509433962264151,0.0,false,true,true,false,unrefactored
3,0,true,false,0,7,1.0,7,84,false,1,0.0,0.0,false,true,true,true,unrefactored
2,0,true,false,0,50,0.28,14,97,false,0,0.0,0.0,false,false,false,false,unrefactored
2,34,true,false,0,22,0.9545454545454546,21,135,false,1,0.125,0.0,false,true,true,false,unrefactored
3,3,true,false,0,10,0.9,9,85,false,0,0.375,0.0,false,true,true,false,unrefactored
2,6,true,false,0,13,1.0,13,105,true,3,0.2,0.0,false,true,true,false,unrefactored
2,7,true,true,0,154,0.06493506493506493,10,89,true,2,0.2222222222222222,0.0,true,true,true,false,unrefactored
