@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
4,0,false,false,0,20,0.9,18,189,false,0,0.5454545454545454,0.0,false,false,false,false,true,2,1.0,2,0,0,0,0,0,0,2,0,0,0,unrefactored
6,88,true,false,0,17,1.0,17,172,true,4,0.0625,0.0,false,true,true,false,false,1,1.0,1477,0,0,0,78,17,0,1477,0,0,0,unrefactored
2,13,false,false,0,17,0.8823529411764706,15,153,true,1,0.0,0.0,false,false,false,false,false,12,0.4166666666666667,1477,2,3,1,106,22,0,1474,3,0,0,unrefactored
2,0,true,false,0,42,0.9761904761904762,41,318,true,20,0.023809523809523808,0.0,false,false,false,false,false,5,1.0,158,2,3,1,111,26,2,154,2,2,0,unrefactored
3,45,true,false,0,10,0.9,9,89,false,0,0.75,0.0,false,false,false,false,false,5,0.35000000000000003,228,0,0,0,40,9,0,228,0,0,0,unrefactored
3,44,true,false,0,61,0.9836065573770492,60,670,true,10,0.5405405405405406,0.0,false,true,true,false,true,2,1.0,0,0,0,0,0,0,0,0,0,0,0,unrefactored
3,21,true,false,0,16,1.0,16,203,false,0,0.5833333333333334,0.0,false,true,true,false,true,4,1.0,367,2,4,0,42,2,4,363,0,0,4,unrefactored
2,9,true,false,0,18,0.9444444444444444,17,187,false,0,0.14285714285714285,0.0,false,true,true,false,true,3,1.0,289,1,2,1,19,3,2,287,0,2,0,unrefactored
5,0,false,false,0,10,0.9,9,58,false,2,0.0,0.0,false,false,false,false,false,5,0.4676867649893966,90,0,0,0,14,4,0,89,1,0,0,unrefactored
3,0,false,false,0,28,1.0,28,190,true,11,0.041666666666666664,0.0,false,false,false,false,false,2,0.7254901960784315,368,2,2,1,31,7,2,365,0,1,2,unrefactored
