@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,13,1.0,13,92,true,5,0.0,0.09090909090909091,false,true,true,true,unrefactored
2,0,true,true,0,73,0.589041095890411,43,364,true,13,0.02631578947368421,0.05263157894736842,true,false,false,false,unrefactored
2,6,true,true,0,15,0.7333333333333333,11,57,true,4,0.3333333333333333,0.0,true,true,true,false,unrefactored
2,5,true,false,0,11,1.0,11,73,true,5,0.0,0.0,false,true,true,false,unrefactored
2,0,true,true,0,129,0.06201550387596899,8,71,false,0,0.0,0.0,true,true,true,true,unrefactored
2,0,false,false,0,17,1.0,17,92,true,2,0.36363636363636365,0.0,false,false,false,false,unrefactored
2,0,true,true,0,56,0.2857142857142857,16,139,true,3,0.21428571428571427,0.0,true,true,true,true,unrefactored
2,7,true,false,0,47,1.0,47,354,false,0,0.5517241379310345,0.0,false,true,true,false,unrefactored
2,0,true,false,0,20,1.0,20,115,true,2,0.35714285714285715,0.0,false,true,true,true,unrefactored
2,12,true,false,0,15,1.0,15,73,true,8,0.0,0.0,false,true,true,false,unrefactored
2,0,false,false,0,10,1.0,10,101,true,2,0.3333333333333333,0.0,false,false,false,false,unrefactored
2,0,true,false,0,12,1.0,12,92,true,4,0.18181818181818182,0.0,false,false,false,false,unrefactored
2,0,true,false,0,11,1.0,11,137,true,3,0.0,0.0,false,true,true,true,unrefactored
2,7,true,false,0,12,0.9166666666666666,11,78,false,0,0.5714285714285714,0.0,false,false,false,false,unrefactored
2,0,false,false,0,10,1.0,10,90,true,4,0.0,0.0,false,false,false,false,unrefactored
3,28,false,true,0,15,0.6,9,78,true,3,0.2222222222222222,0.0,true,false,false,false,unrefactored
2,0,true,false,0,138,0.16666666666666666,23,137,true,7,0.045454545454545456,0.0,false,true,true,true,unrefactored
3,32,true,false,0,30,0.9333333333333333,28,206,true,6,0.15789473684210525,0.0,false,true,true,false,unrefactored
2,0,true,true,0,74,0.16216216216216217,12,93,true,4,0.21428571428571427,0.0,true,true,true,true,unrefactored
2,0,true,true,0,108,0.08333333333333333,9,80,true,1,0.5,0.0,true,true,true,true,unrefactored
