@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,13,1.0,13,92,true,5,0.0,0.09090909090909091,false,true,true,true,false,1,1.0,1435,6,30,11,468,127,30,1405,0,30,0,unrefactored
2,0,true,true,0,73,0.589041095890411,43,364,true,13,0.02631578947368421,0.05263157894736842,true,false,false,false,false,5,1.0,1435,3,9,2,168,43,9,1401,25,9,0,unrefactored
2,6,true,true,0,15,0.7333333333333333,11,57,true,4,0.3333333333333333,0.0,true,true,true,false,false,4,1.0,12,2,7,1,9,3,7,5,0,7,0,unrefactored
2,5,true,false,0,11,1.0,11,73,true,5,0.0,0.0,false,true,true,false,false,1,1.0,1435,5,106,24,484,182,106,1329,0,106,0,unrefactored
2,0,true,true,0,129,0.06201550387596899,8,71,false,0,0.0,0.0,true,true,true,true,false,5,1.0,1435,4,53,12,285,75,53,1382,0,53,0,unrefactored
2,0,false,false,0,17,1.0,17,92,true,2,0.36363636363636365,0.0,false,false,false,false,false,4,1.0,593,3,13,4,293,57,10,578,5,10,0,unrefactored
2,0,true,true,0,56,0.2857142857142857,16,139,true,3,0.21428571428571427,0.0,true,true,true,true,false,8,1.0,25,1,3,2,15,5,3,22,0,3,0,unrefactored
2,7,true,false,0,47,1.0,47,354,false,0,0.5517241379310345,0.0,false,true,true,false,true,6,1.0,1435,3,31,8,220,43,31,1404,0,31,0,unrefactored
2,0,true,false,0,20,1.0,20,115,true,2,0.35714285714285715,0.0,false,true,true,true,false,7,1.0,1095,5,51,4,506,90,51,1044,0,51,0,unrefactored
2,12,true,false,0,15,1.0,15,73,true,8,0.0,0.0,false,true,true,false,false,1,1.0,1435,2,6,0,479,91,6,1429,0,6,0,unrefactored
2,0,false,false,0,10,1.0,10,101,true,2,0.3333333333333333,0.0,false,false,false,false,false,4,1.0,1435,3,18,6,447,124,3,1413,19,3,0,unrefactored
