@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
3,0,false,false,0,12,1.0,12,116,true,11,0.0,0.0,false,false,false,false,true,3,0.7835617905333047,61,1,1,0,6,0,0,433,1,1,0,unrefactored
2,3,true,false,0,27,1.0,27,278,true,2,0.5,0.0,false,true,true,false,true,0,1.0,3,0,0,0,0,0,0,3,0,0,0,unrefactored
2,0,true,true,0,72,0.4027777777777778,29,148,true,5,0.1,0.0,true,false,false,false,false,5,1.0,741,1,1,0,98,32,1,740,0,1,0,unrefactored
4,97,false,false,0,17,1.0,17,157,false,0,0.5625,0.0,false,false,false,false,true,0,1.0,809,0,0,0,15,3,0,809,0,0,0,unrefactored
3,12,true,false,0,16,0.9375,15,168,false,0,0.5714285714285714,0.0,false,true,true,false,true,3,1.0,809,0,0,0,7,1,0,809,0,0,0,unrefactored
2,0,false,false,0,46,0.9782608695652174,45,402,false,0,0.7894736842105263,0.0,false,false,false,false,true,1,0.1,809,1,1,0,9,1,1,808,0,1,0,unrefactored
2,0,true,true,0,81,0.18518518518518517,15,149,true,6,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,781,2,3,0,28,6,3,778,0,3,0,unrefactored
4,64,true,false,0,17,0.9411764705882353,16,85,false,0,0.2857142857142857,0.0,false,false,false,false,true,2,1.0,74,0,0,0,10,7,0,72,0,2,0,unrefactored
2,0,false,false,0,18,1.0,18,77,true,3,0.2857142857142857,0.0,false,false,false,false,true,3,0.4425287356321839,809,1,2,0,24,9,0,806,3,0,0,unrefactored
4,32,false,false,0,57,0.9649122807017544,55,358,false,2,0.6,0.0,false,false,false,false,true,3,1.0,306,2,2,1,11,2,2,303,0,1,0,unrefactored
