@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,true,0,88,0.14772727272727273,13,102,true,2,0.09090909090909091,0.0,true,true,true,true,false,8,1.0,507,2,2,0,129,37,2,505,0,2,0,unrefactored
2,0,false,false,0,15,1.0,15,71,false,1,0.4,0.0,false,false,false,false,true,1,1.0,314,1,1,1,9,3,1,313,0,1,0,unrefactored
2,0,false,false,0,18,1.0,18,284,false,0,0.5,0.0,false,false,false,false,true,2,0.604458416690483,0,0,0,0,0,0,0,0,0,0,0,unrefactored
2,0,false,false,0,6,1.0,6,75,false,0,0.6,0.0,false,false,false,false,true,2,0.6174253001954761,267,0,0,0,49,18,0,267,0,0,0,unrefactored
2,0,false,false,0,94,1.0,94,415,false,5,0.6129032258064516,0.0,false,false,false,false,true,0,1.0,241,0,0,0,6,2,0,241,0,0,0,unrefactored
2,1,true,false,0,26,0.6153846153846154,16,122,false,0,0.4,0.0,false,true,true,false,true,2,1.0,993,3,9,0,66,9,9,984,0,9,0,unrefactored
10,373,false,false,0,39,1.0,39,237,false,0,0.47058823529411764,0.0,false,false,false,false,true,6,0.842298286508813,152,0,0,0,13,3,0,152,0,0,0,unrefactored
2,0,false,false,0,13,1.0,13,69,false,2,0.2727272727272727,0.0,false,false,false,false,true,1,1.0,66,0,0,0,19,6,0,66,0,0,0,unrefactored
2,0,false,false,0,79,0.9746835443037974,77,347,true,17,0.06818181818181818,0.022727272727272728,false,false,false,false,false,6,0.5945626477541371,93,1,1,0,8,3,1,92,0,1,0,unrefactored
2,0,true,true,0,59,0.2542372881355932,15,110,true,6,0.14285714285714285,0.0,true,true,true,true,false,3,1.0,0,0,0,0,0,0,0,0,0,0,0,unrefactored
